"No."	"Monoisotopic_Mass"	"Sum_Intensity"	"Number_of_Charge_States"	"Average_Charge"	"Delta_Mass"	"Relative_Abundance"	"Fractional_Abundance"	"RT_Range"	"sample"	"earp"	"efp"	"target_mass"
16	10910.9587	"12345.32"	"3"	"11.871620407514733"	"4696.2776999999996"	10.4055610866883	2.00955576376766	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
17	10937.0211	"7486.46"	"3"	"11.696544030615051"	"4722.3401000000003"	6.31014966424919	1.21863660425295	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
18	12810.3346	"4936.3500000000004"	"3"	"15.092326190995241"	"6595.6536000000006"	4.16072580299855	0.803532884888728	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
19	13494.5013	"3338.0900000000001"	"3"	"16.802836934314495"	"7279.8203000000003"	2.81359247130601	0.543370119160557	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
20	16652.2485	"41020.980000000003"	"9"	"20.714545725098478"	"10437.567500000001"	34.5755568284841	6.67734386750591	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
21	19918.3037	"3917.8299999999999"	"3"	"24.089071637518629"	"13703.6227"	3.30224079993554	0.637739471958756	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
22	21736.929	"6052.3400000000001"	"4"	"27.435527442253246"	"15522.248"	5.10136582829828	0.985192342627132	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
23	21755.9661	"118641.56"	"11"	"21.544614533910508"	"15541.285100000001"	100	19.3123248907592	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
24	21777.9826	"55259.360000000001"	"11"	"23.565173837366729"	"15563.301599999999"	46.5767307847267	8.99504957264067	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
25	21799.9713	"26336.049999999999"	"7"	"22.004364028677273"	"15585.290300000001"	22.1979970593778	4.28694931134822	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
26	21811.8223	"3145.5900000000001"	"3"	"25.60543889996999"	"15597.141299999999"	2.65133904173209	0.512035209694842	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
27	21819.9609	"10677.200000000001"	"5"	"24.278694786718681"	"15605.279899999998"	8.99954451037225	1.73802127453157	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
28	21855.928	"21401.32"	"6"	"21.456537749350392"	"15641.246999999999"	18.0386367138126	3.48368012803526	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
29	21875.8587	"4195.6099999999997"	"3"	"27.578456655209614"	"15661.1777"	3.5363746059981	0.682956153264658	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
30	21906.8556	"5862.1400000000003"	"3"	"24.822782962873845"	"15692.174599999998"	4.94105101112966	0.954231824287502	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
31	22782.7621	"5079.71"	"3"	"26.794267159509186"	"16568.081099999999"	4.28156035709578	0.826868846556286	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
32	23494.2211	"13828.940000000001"	"6"	"26.859684870592847"	"17279.540099999998"	11.6560672331011	2.25105757354181	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
33	23625.3091	"18219.439999999999"	"7"	"27.458953187086106"	"17410.628099999998"	15.3567097398247	2.96573767748581	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
34	36248.7488	"2987.8000000000002"	"3"	"41.991718555966138"	"30034.067800000001"	2.518341801979	0.486350350657985	"0.399"	"heau_plus"	"plus"	"heau"	21756.036
1	7831.0923	"147151.66"	"3"	"8.8629466943042559"	"0"	3.25231729579359	2.41406108787889	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
2	8645.5267	"155771.39000000001"	"3"	"9.9234783266495565"	"814.4344000000001"	3.44282888746759	2.55546999064643	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
3	21538.1516	"64704.93"	"3"	"24.905170998788797"	"13707.059300000001"	1.43009574585916	1.06150113228031	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
4	21556.1425	"4524517.3399999999"	"18"	"17.962903654119099"	"13725.050200000001"	100	74.2258786066517	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
5	21575.1259	"162758.29000000001"	"4"	"23.13615932403772"	"13744.033599999999"	3.59725198887181	2.67009189443535	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
6	21579.0923	"329675.28999999998"	"7"	"18.922321105260004"	"13748"	7.28641897524477	5.40840850333722	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
7	21599.1142	"189534.19"	"6"	"21.643500495316797"	"13768.0219"	4.18904770956188	3.10935746767412	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
8	21619.0333	"76093.179999999993"	"3"	"22.945701492897772"	"13787.940999999999"	1.68179662673146	1.24832832256846	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
9	21653.0986	"387124.32000000001"	"4"	"12.035593572193491"	"13822.006300000001"	8.55614623415279	6.35087471716985	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
10	21655.0263	"58275.720000000001"	"3"	"22.604968921374844"	"13823.934000000001"	1.28799860008935	0.956028277357696	"0.246"	"gefeR_plus"	"plus"	"gefeR"	21556.073
1	7430.4028	"34152.900000000001"	"3"	"7.9548750840521656"	"0"	8.21610282925564	2.53816051114554	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
2	7433.0442	"47805.57"	"3"	"7.7881525712216435"	"2.6414000000004307"	11.5005015366536	3.55279375944075	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
3	10130.5031	"74269.380000000005"	"4"	"9.4410097774036537"	"2700.1003000000001"	17.8668535657312	5.51951979197264	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
4	11155.5799	"33603.910000000003"	"3"	"12.778812932521156"	"3725.1771000000008"	8.08403327462827	2.49736090879804	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
5	11181.0462	"32882.279999999999"	"4"	"12.142928384577917"	"3750.6434000000008"	7.91043202013229	2.44373112129368	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
6	16649.2812	"406884.94"	"13"	"17.337531073169284"	"9218.8784000000014"	97.8835913411602	30.2386997088921	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
7	16670.3136	"20216.68"	"3"	"20.117152305606048"	"9239.9108000000015"	4.86349099918765	1.50245451608694	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
8	22256.1379	"415682.47999999998"	"18"	"22.49726079309151"	"14825.735100000002"	100	30.8925114971509	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
9	22270.1303	"19329.190000000002"	"3"	"27.273582027140343"	"14839.727500000001"	4.64998909744765	1.43649841654528	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
10	22276.1609	"119279.92"	"11"	"24.35225454362622"	"14845.758099999999"	28.6949596721036	8.86459371580742	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
11	22287.1612	"24215.950000000001"	"3"	"26.819273321877386"	"14856.758399999999"	5.82558831923828	1.79967054129737	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
12	22295.148	"19732.200000000001"	"3"	"25.221771857147044"	"14864.745200000001"	4.74694050131726	1.46644914013235	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
13	22345.1147	"37368.07"	"5"	"24.750782917773581"	"14914.711899999998"	8.98957059725009	2.77710413029998	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
